model,task,fit_type,r2,rmse,saturation_tokens,asymptote
llama-3.1-8b,qa,sigmoid,0.22222209569666151,0.01543033625127959,42.8,1.0000029266778279
llama-3.1-8b,summarization,logarithmic,0.4380087736638185,0.008395006890126858,104.3,0.6547819582872542
llama-3.1-8b,classification,sigmoid,0.9752350480631097,0.020481405258916646,70.43203203203203,0.9709072504701175
llama-3.1-8b,instruction_following,sigmoid,0.37050460834964094,0.03493494309596113,72.70270270270271,0.9875040767690169
gemini-flash,qa,sigmoid,0.5361595012753182,0.02182180213675506,40.048648648648644,0.9833333412217868
gemini-flash,summarization,logarithmic,0.3911871651779645,0.015352219191671394,68.42105263157895,0.6200426353861324
gemini-flash,classification,sigmoid,0.9387486172150419,0.02236093218183165,40.26426426426426,0.9085492901623391
gemini-flash,instruction_following,logarithmic,0.0,1.433255724146697e-13,15.35,1.0000000000002953
qwen3-32b,qa,sigmoid,0.29999999935456423,0.020701966789814733,19.85,0.950000046749236
qwen3-32b,summarization,logarithmic,0.141967795614393,0.004710031014974228,83.1,0.636705325004434
qwen3-32b,classification,sigmoid,0.5931822495558752,0.03156403599723254,45.146146146146144,0.9607542537957663
qwen3-32b,instruction_following,logarithmic,0.0,1.5395829689110478e-14,27.4,1.000000000000033
llama-3.3-70b,qa,sigmoid,0.8205126390148046,0.015430342797809523,68.00960960960961,1.0000066742312506
llama-3.3-70b,summarization,sigmoid,0.7160048344227321,0.017600640334039054,115.63423423423423,0.6842391422751003
llama-3.3-70b,classification,logarithmic,0.31463222936774216,0.030152302207123904,64.1,0.9474288358966837
llama-3.3-70b,instruction_following,logarithmic,0.0,4.1962486042515756e-17,50.3,1.0
kimi-k2,qa,sigmoid,0.649455961177965,0.020718050066490187,36.9472972972973,0.9800017708215373
kimi-k2,summarization,logarithmic,0.6892099490597576,0.008496839302362183,223.29004004004005,0.647542768344882
kimi-k2,classification,sigmoid,0.8814317193886524,0.019790781808416164,57.33061394728061,0.8542519233151888
kimi-k2,instruction_following,logarithmic,0.0,3.7532388518380547e-16,41.3,1.0000000000000009
gpt-4o-mini,qa,logarithmic,0.0,3.329494144945554e-13,14.8,1.0000000000006977
gpt-4o-mini,summarization,logarithmic,0.03448161558749441,0.01045892288196268,76.25,0.6476791743788047
gpt-4o-mini,classification,sigmoid,0.9146361659736998,0.026725808038712374,39.06306306306306,0.9001726450034166
gpt-4o-mini,instruction_following,logarithmic,0.0,4.9362154476938684e-14,22.35,1.0000000000001044
claude-haiku,qa,sigmoid,0.4166666358430874,0.017251639439350763,15.35,0.9508599602810608
claude-haiku,summarization,sigmoid,0.9193521617259485,0.005242717470490673,84.95365365365366,0.6479884052639268
claude-haiku,classification,sigmoid,0.6911020605353312,0.023148290744188574,75.44894894894895,0.9482775024787136
claude-haiku,instruction_following,logarithmic,0.0,1.7500721312336182e-14,23.1,1.0000000000000357
